LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
df1d4bfec8330309aeee97639fbaed18b30342e82b1b0fc4624011cd7ba9aa52,Canopy by Hilton London City,11-15 Minories,,EC3N 1AX,10003367979,22,A,C1 Hotels,2022-08-30,E09000001,E14000639,,2022-09-26,Mandatory issue (Property on construction).,30,87,5,Natural Gas,,,,15008,96.36,57.35,168.07,43.22,Yes,,3.0,5,Air Conditioning,"Canopy by Hilton London City, 11-15 Minories",City of London,Cities of London and Westminster,London,2022-09-26 06:48:53,243,,
1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,Basement Unit,44-46 Fleet Street,,EC4Y 1BT,10003373103,116,E,Retail/Financial and Professional Services,2022-08-31,E09000001,E14000639,,2022-09-25,Mandatory issue (Property to let).,20,82,3,Grid Supplied Electricity,,,,94,2.25,0.92,3.68,5.21,No,,,4,Heating and Natural Ventilation,"Basement Unit, 44-46 Fleet Street",City of London,Cities of London and Westminster,LONDON,2022-09-25 19:01:50,55,,
9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,Ground Floor,Eldon Chambers,30-32 Fleet Street,EC4Y 1AA,10003373544,122,E,Offices and Workshop Businesses,2022-04-19,E09000001,E14000639,,2022-09-24,Mandatory issue (Property to let).,27,110,3,Natural Gas,,,,79,18.44,10.12,40.47,44.98,No,,,4,Air Conditioning,"Ground Floor, Eldon Chambers, 30-32 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-24 09:34:53,407,,
d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,First Floor,Eldon Chambers,30-32 Fleet Street,EC4Y 1AA,10003373373,121,E,Offices and Workshop Businesses,2022-04-19,E09000001,E14000639,,2022-09-24,Mandatory issue (Property to let).,21,82,3,Natural Gas,,,,258,10.84,4.47,17.86,26.14,No,,,4,Air Conditioning,"First Floor, Eldon Chambers, 30-32 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-24 09:43:47,212,,
1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,Third Floor,Eldon Chambers,30-32 Fleet Street,EC4Y 1AA,10003385743,113,E,Offices and Workshop Businesses,2022-04-19,E09000001,E14000639,,2022-09-23,Mandatory issue (Property to let).,17,69,3,Natural Gas,,,,252,13.93,4.79,19.15,31.57,No,,,4,Air Conditioning,"Third Floor, Eldon Chambers, 30-32 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-23 21:50:32,242,,
2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,Falcon Chambers,Falcon Court,30-32 Fleet Street,EC4Y 1AA,10003377160,124,E,Offices and Workshop Businesses,2022-04-19,E09000001,E14000639,,2022-09-23,Mandatory issue (Property to let).,19,76,3,Natural Gas,,,,733,10.08,3.85,15.38,25.0,No,,,4,Air Conditioning,"Falcon Chambers, Falcon Court, 30-32 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-23 21:47:38,194,,
c71a61435010ea03c7310e9cafd2170a8684b388a763054d182341a03bc51ba3,Retail Unit 7a,1 Paternoster Square,,EC4M 7DX,10003378435,55,C,Retail/Financial and Professional Services,2022-09-13,E09000001,E14000639,,2022-09-23,Mandatory issue (Marketed sale),12,47,3,Grid Supplied Electricity,,,,39,19.42,4.54,18.14,21.32,No,,,4,Air Conditioning,"Retail Unit 7a, 1 Paternoster Square",City of London,Cities of London and Westminster,LONDON,2022-09-23 11:41:56,227,95506686,Energy Assessor
e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,Unit 1 ,30 Fleet Street,,EC4Y 1AA,10003380952,112,E,Retail/Financial and Professional Services,2022-04-19,E09000001,E14000639,,2022-09-23,Mandatory issue (Property to let).,12,49,3,Grid Supplied Electricity,,,,28,20.88,5.12,20.49,46.97,No,,,4,Air Conditioning,"Unit 1, 30 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-23 21:39:14,501,,
3b3c6a7c3b4fc9a13561d3b7f04a8622ca257f5d7ce93d6747412b91c712776e,35 Tower Hill,,,EC3N 4DR,10003370747,72,C,Retail/Financial and Professional Services,2022-09-20,E09000030,E14000882,,2022-09-23,Mandatory issue (Property to let).,8,34,3,Grid Supplied Electricity,,,,150,19.98,3.39,13.61,28.78,Yes,,1.0,4,Air Conditioning,35 Tower Hill,Tower Hamlets,Poplar and Limehouse,LONDON,2022-09-23 15:02:25,307,6150760,Energy Assessor
e9a69686968983b82e14eb66adcbf86e232f9f508c8a86b44a69b3f718979253,1 Coleman Street,,,EC2R 5AA,10003359228,85,D,Offices and Workshop Businesses,2022-03-02,E09000001,E14000639,,2022-09-23,Mandatory issue (Marketed sale),21,83,4,Natural Gas,,,,20284,14.85,6.14,24.57,25.21,No,,,4,Air Conditioning,1 Coleman Street,City of London,Cities of London and Westminster,LONDON,2022-09-23 09:04:49,249,95506023,Energy Assessor
28d39a999b04ef3b1ed546f8b535c04a9894c6f3be4110fc28e8d95c4e02c6a8,Second Floor,Eldon Chambers,30-32 Fleet Street,EC4Y 1AA,10003376424,125,E,Offices and Workshop Businesses,2022-04-19,E09000001,E14000639,,2022-09-23,Mandatory issue (Property to let).,21,82,3,Natural Gas,,,,260,10.81,4.44,17.77,27.1,No,,,4,Air Conditioning,"Second Floor, Eldon Chambers, 30-32 Fleet Street",City of London,Cities of London and Westminster,London,2022-09-23 21:53:48,215,,
6318afddc82f20209a724b4d4161ad31b86e81ae7c2e81c01c7a76287b9ee2bb,RETAIL UNIT A,1 Fleet Place,St Pauls,EC4M 7RA,223540110002,46,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-08-11,E09000001,E14000639,,2022-09-22,Voluntary re-issue (A valid EPC is already lodged).,14,37,5,Grid Supplied Electricity,,,,118,91.24,25.48,67.95,84.03,No,,,4,Heating and Natural Ventilation,"RETAIL UNIT A, 1 Fleet Place, St Pauls",City of London,Cities of London and Westminster,LONDON,2022-09-22 10:05:24,899,,
c99243fd250ede5f95882e9f43de23c1170adedad321f09b14ee83042a9a8f75,RETAIL UNIT B,1 Fleet Place,St Pauls,EC4M 7RA,223540110001,47,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-08-11,E09000001,E14000639,,2022-09-22,Voluntary re-issue (A valid EPC is already lodged).,17,46,5,Grid Supplied Electricity,,,,294,50.12,17.18,45.81,47.26,No,,,4,Air Conditioning,"RETAIL UNIT B, 1 Fleet Place, St Pauls",City of London,Cities of London and Westminster,LONDON,2022-09-22 10:05:59,511,,
9c3a4752ea605b847642ea3cf2ca3c8b4bb9b108944948952cc32e04fbd56702,3RD FLOOR,86 Hatton Garden,,EC1N 8QQ,10003367460,86,D,Offices and Workshop Businesses,2022-09-20,E09000007,E14000750,,2022-09-22,Mandatory issue (Marketed sale),0,86,3,Natural Gas,,,,83,7.15,0.0,12.3,12.28,No,,,4,Heating and Natural Ventilation,"3RD FLOOR, 86 Hatton Garden",Camden,Holborn and St Pancras,LONDON,2022-09-22 14:35:26,107,,
8a6a6a0d3e68f86729538d04c814876c76800441b50bb281b7cd91e56c2a5f88,RETAIL UNIT E,1 Fleet Place,St Pauls,EC4M 7RA,223540110004,58,C,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-08-11,E09000001,E14000639,,2022-09-22,Voluntary re-issue (A valid EPC is already lodged).,14,38,5,Grid Supplied Electricity,,,,86,75.64,21.28,56.76,88.22,No,,,4,Heating and Natural Ventilation,"RETAIL UNIT E, 1 Fleet Place, St Pauls",City of London,Cities of London and Westminster,LONDON,2022-09-22 10:06:34,920,,
62c5b14338dec356d3051e204201f7bc11e22ed1ad452c35ce01e9781c52b423,50 Gresham Street,,,EC2V 7AY,10003367720,70,C,Offices and Workshop Businesses,2021-11-30,E09000001,E14000639,,2022-09-22,Mandatory issue (Property to let).,16,64,4,Grid Supplied Electricity,,,,966,17.42,5.55,22.26,24.45,No,,,4,Air Conditioning,50 Gresham Street,City of London,Cities of London and Westminster,LONDON,2022-09-22 14:34:08,225,100022934385,Energy Assessor
58338eb475fff61c864fe6200d70219da8a6bf32356f2495229fd988065e7afa,RETAIL UNIT D,1 Fleet Place,St Pauls,EC4M 7RA,223540110003,71,C,Retail/Financial and Professional Services,2022-08-11,E09000001,E14000639,,2022-09-22,Voluntary re-issue (A valid EPC is already lodged).,3,8,5,Grid Supplied Electricity,,,,51,11.95,0.75,2.01,16.87,No,,,4,Heating and Natural Ventilation,"RETAIL UNIT D, 1 Fleet Place, St Pauls",City of London,Cities of London and Westminster,LONDON,2022-09-22 10:06:18,177,,
ae01461a4ea5b56e0ce3b8f2f622602b379951c51f3cfa46f4d1ddcce3d47ce1,1st Floor,50 Gresham Street,,EC2V 7AY,10003369244,159,G,Offices and Workshop Businesses,2021-11-30,E09000001,E14000639,,2022-09-21,Mandatory issue (Property to let).,10,40,4,Natural Gas,,,,91,13.19,2.64,10.58,41.9,No,,,4,Air Conditioning,"1st Floor, 50 Gresham Street",City of London,Cities of London and Westminster,LONDON,2022-09-21 12:29:31,290,,
f1356004b3f2fa6623f37af10db3618e4d45c8bed9393c556482f0aa3bf458cb,GROUND FLOOR & BASEMENT RETAIL,50 Gresham Street,,EC2V 7AY,386718680001,40,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-03-23,E09000001,E14000639,,2022-09-21,Mandatory issue (Property to let).,15,61,4,Grid Supplied Electricity,,,,208,42.56,12.98,52.05,34.39,No,,,4,Air Conditioning,"GROUND FLOOR & BASEMENT RETAIL, 50 Gresham Street",City of London,Cities of London and Westminster,LONDON,2022-09-21 12:19:54,369,200000069278,Address Matched
991e4ac7cff27633748d32b208a37e0a3eb1827f2da53e98810cad1ae48de276,Ground Floor & Basement Retail Unit,33 Fleet Street,,EC4Y 1BT,10003371750,50,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-08-31,E09000001,E14000639,,2022-09-20,Mandatory issue (Property to let).,14,58,4,Grid Supplied Electricity,,,,81,25.26,7.3,29.2,25.34,No,,,4,Air Conditioning,"Ground Floor & Basement Retail Unit, 33 Fleet Street",City of London,Cities of London and Westminster,LONDON,2022-09-20 22:12:47,274,100022937153,Address Matched
f33ffd69b2d0b1f6247a8b38014cbb95750bc968c83df572dda0ebf1d2dd49d2,5th Floor,34 Threadneedle Street,,EC2R 8AY,10003367785,62,C,Retail/Financial and Professional Services,2022-09-12,E09000001,E14000639,,2022-09-20,Mandatory issue (Property to let).,11,44,3,Grid Supplied Electricity,,,,86,21.45,4.76,19.09,26.77,No,,,4,Air Conditioning,"5th Floor, 34 Threadneedle Street",City of London,Cities of London and Westminster,London,2022-09-20 13:11:23,289,,
f101b291999590a8c4b32e604f5722562b6366ff17430afc5685d9c26dba862d,Ground Floor Retail Unit,42-44 Fleet Street ,,EC4Y 1BT,10003374871,40,B,Retail/Financial and Professional Services,2022-08-31,E09000001,E14000639,,2022-09-20,Mandatory issue (Property to let).,18,72,4,Grid Supplied Electricity,,,,88,33.5,12.0,48.01,26.54,No,,,4,Air Conditioning,"Ground Floor Retail Unit, 42-44 Fleet Street",City of London,Cities of London and Westminster,LONDON,2022-09-20 22:06:40,288,,
13a3bfb9f3aaec122e7ab095db93ee8cd04fc85e413beb0d9210f7121ad0108f,Angel Gate,320 City Road,,EC1V 2NZ,10003372799,54,C,Offices and Workshop Businesses,2022-09-12,E09000019,E14000764,,2022-09-18,Mandatory issue (Marketed sale),11,42,3,Grid Supplied Electricity,,,,854,13.25,2.79,11.2,14.38,No,,,4,Air Conditioning,"Angel Gate, 320 City Road",Islington,Islington South and Finsbury,LONDON,2022-09-18 20:38:29,156,,
168dc89800d7e31253e0995ba7b3e15f01d2dd77fe47b60e94f3c8f4032025db,Retail Unit,39 Ludgate Hill,,EC4M 7JN,10003378485,45,B,Retail/Financial and Professional Services,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,7,27,3,Grid Supplied Electricity,,,,33,25.81,3.51,14.03,23.18,No,,,4,Heating and Natural Ventilation,"Retail Unit, 39 Ludgate Hill",City of London,Cities of London and Westminster,LONDON,2022-09-16 09:00:16,241,200000070401,Energy Assessor
56fac1566127c179e6dfe0050e4ff5dcced8b46c0136c80ef434c1f324f9956c,31 Lovat Lane,,,EC3R 8EB,10003363863,41,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,15,60,3,Grid Supplied Electricity,,,,283,66.9,20.12,80.49,54.45,No,,,4,Air Conditioning,31 Lovat Lane,City of London,Cities of London and Westminster,LONDON,2022-09-16 08:47:15,592,100022935378,Energy Assessor
639c1939df464143f8723c7141fc28f5d7d76f70d4abeae267e7b6ae4626ec06,94 Central Street,Islington,,EC1V 8AJ,10003369841,41,B,Retail/Financial and Professional Services,2022-09-13,E09000019,E14000764,,2022-09-16,Mandatory issue (Property to let).,3,11,3,Grid Supplied Electricity,,,,100,11.67,0.65,2.58,9.67,No,,,4,Air Conditioning,"94 Central Street, Islington",Islington,Islington South and Finsbury,LONDON,2022-09-16 08:50:32,104,10012793635,Energy Assessor
86e4efb31eea703cf6091caa3e9bd54c84ff35ee39d3cc4c5e96865d05d2815c,Blackwell House,23 Guildhall Yard,,EC2V 5AE,10003366796,136,F,Offices and Workshop Businesses,2022-01-11,E09000001,E14000639,,2022-09-16,Voluntary (No legal requirement for an EPC).,25,98,4,Natural Gas,,,,829,12.88,6.32,25.34,35.14,No,,,4,Heating and Natural Ventilation,"Blackwell House, 23 Guildhall Yard",City of London,Cities of London and Westminster,LONDON,2022-09-16 14:47:54,215,,
d0e2bfcae3916abd75ba3d4c06675ec65da7d3180318627b7729357a1f8df780,"Levels 4, 5 and 6",Johnson Building,77 Hatton Garden,EC1N 8JS,10003379257,45,B,B1 Offices and Workshop businesses,2022-08-16,E09000007,E14000750,,2022-09-16,Mandatory issue (Non-marketed sale),35,102,5,Natural Gas,,,,5167,42.63,29.55,86.6,38.27,No,,,4,Air Conditioning,"Levels 4, 5 and 6, Johnson Building, 77 Hatton Garden",Camden,Holborn and St Pancras,London,2022-09-16 13:13:12,225,,
df97b392aaba2d106bb3dd0aec1ab877d5f7e0a7d12340c8aaa58327a3c144aa,ROOMS 11-13,Albert Buildings,49 Queen Victoria Street,EC4N 4SA,500739790002,77,D,Offices and Workshop Businesses,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,5,20,3,Grid Supplied Electricity,,,,63,12.59,1.23,4.91,19.44,No,,,4,Heating and Natural Ventilation,"ROOMS 11-13, Albert Buildings, 49 Queen Victoria Street",City of London,Cities of London and Westminster,LONDON,2022-09-16 09:34:51,204,,
a3ea699762b3b7c68f0e223a01213fff16b00502e9e39aa244adfbad329bf70b,Room 7/7a,Albert Buildings,49 Queen Victoria Street,EC4N 4SA,10003378617,62,C,Offices and Workshop Businesses,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,2,8,3,Grid Supplied Electricity,,,,33,11.77,0.5,1.99,14.66,No,,,4,Heating and Natural Ventilation,"Room 7/7a, Albert Buildings, 49 Queen Victoria Street",City of London,Cities of London and Westminster,LONDON,2022-09-16 09:06:22,153,,
4116ae98bb1f038680766c4a8afe8271d60c0ccc6292061b2c3c2ee8f10eb952,72 Queen Victoria Street,,,EC4N 4SJ,10003369555,50,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,12,46,3,Grid Supplied Electricity,,,,35,74.03,17.14,68.54,74.35,No,,,4,Heating and Natural Ventilation,72 Queen Victoria Street,City of London,Cities of London and Westminster,LONDON,2022-09-16 09:20:50,791,200000074805,Energy Assessor
dfb867398b6697d70f5b665dcaf4884f8e98f36f5e0375602f20e25ecc6494b7,THIRD FLOOR WEST,35-37 Ludgate Hill,,EC4M 7JN,10003375608,93,D,Offices and Workshop Businesses,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,11,45,3,Natural Gas,,,,28,11.78,2.64,10.55,22.0,No,,,4,Heating and Natural Ventilation,"THIRD FLOOR WEST, 35-37 Ludgate Hill",City of London,Cities of London and Westminster,LONDON,2022-09-16 08:57:36,136,,
38a2412adc371026db741844afb05840bf47bbfdb9ff0d1731a6318bae11e76d,76-77 Watling Street,,,EC4M 9BJ,10003368513,40,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,15,60,3,Grid Supplied Electricity,,,,195,68.73,20.72,82.89,55.2,No,,,4,Air Conditioning,76-77 Watling Street,City of London,Cities of London and Westminster,LONDON,2022-09-16 09:03:01,599,95511379,Energy Assessor
a5bd0376204680fb386bac7bfb3d8072e6fd9b29733346a1c1f8c357779d5ab4,Offices,16 Devonshire Row,,EC2M 4RH,10003374400,77,D,Offices and Workshop Businesses,2022-09-13,E09000001,E14000639,,2022-09-16,Mandatory issue (Property to let).,0,1,3,Grid Supplied Electricity,,,,94,15.31,0.09,0.36,23.54,No,,,4,Heating and Natural Ventilation,"Offices, 16 Devonshire Row",City of London,Cities of London and Westminster,LONDON,2022-09-16 08:53:05,244,95511591,Energy Assessor
34a457a6bef39e7e0991e70c0b9a53b113826b4efec7c2795236414f9e3a1ce6,Offices,20-23 Greville Street,,EC1N 8SS,10003375764,20,A,B1 Offices and Workshop businesses,2022-09-12,E09000007,E14000750,,2022-09-15,Mandatory issue (Property on construction).,34,99,5,Grid Supplied Electricity,,,,2331,33.67,22.63,66.33,13.41,Yes,,3.0,5,Air Conditioning,"Offices, 20-23 Greville Street",Camden,Holborn and St Pancras,London,2022-09-15 12:48:47,90,,
7e0e530bbebad8528b0e0185fa1acd75920b0117622f3e7cbad95c09d0caccd1,Joinery & Dispatch,14 Anning Street,,EC2A 3LQ,10003375842,36,B,Offices and Workshop Businesses,2022-04-07,E09000012,E14000721,,2022-09-15,Mandatory issue (Marketed sale),13,51,3,Grid Supplied Electricity,,,,1144,17.56,4.43,17.76,12.72,Yes,,1.0,4,Air Conditioning,"Joinery & Dispatch, 14 Anning Street",Hackney,Hackney South and Shoreditch,London,2022-09-15 08:18:51,120,10092020457,Address Matched
e22f49fdc3e080a75c6ff4a0e8d1d078b9cfe68914f0ae3b720a2bdb03cbed2a,The Woodshed,14 Anning Street,,EC2A 3LQ,10003379996,69,C,Offices and Workshop Businesses,2022-04-06,E09000012,E14000721,,2022-09-15,Mandatory issue (Marketed sale),5,21,3,Grid Supplied Electricity,,,,393,4.31,0.46,1.85,5.97,No,,,4,Heating and Natural Ventilation,"The Woodshed, 14 Anning Street",Hackney,Hackney South and Shoreditch,London,2022-09-15 08:16:39,62,10092020457,Address Matched
998a234da3245ef163ba4b732cc557f42460753ba307783dd0e76a717afd7797,THIRD FLOOR OFFICE,130 City Road,,EC1V 2NW,417278020002,38,B,Offices and Workshop Businesses,2022-08-22,E09000019,E14000764,,2022-09-15,Mandatory issue (Marketed sale),17,69,3,Grid Supplied Electricity,,,,188,8.78,3.01,12.06,6.68,No,,,4,Air Conditioning,"THIRD FLOOR OFFICE, 130 City Road",Islington,Islington South and Finsbury,LONDON,2022-09-15 10:54:57,72,,
0c98b2bfb1b991d117c780325f931145f45b74607ca863c4ee49f00f61ac4095,Offices And Premises At 2nd Floor Unit 19,88-90 Hatton Garden,,EC1N 8PN,10003374403,75,C,Offices and Workshop Businesses,2022-09-12,E09000007,E14000750,,2022-09-13,Mandatory issue (Property to let).,17,69,3,Grid Supplied Electricity,,,,17,10.13,3.48,13.92,15.29,No,,,4,Air Conditioning,"Offices And Premises At 2nd Floor Unit 19, 88-90 Hatton Garden",Camden,Holborn and St Pancras,LONDON,2022-09-13 20:02:52,164,5126286,Energy Assessor
5e72b567e7892d1d7362fad86058652194952423f78c6513c2c18175f3b4d719,150 Whitecross Street,Islington,,EC1Y 8JL,10003362631,64,C,Retail/Financial and Professional Services,2022-09-12,E09000019,E14000764,,2022-09-13,Mandatory issue (Property to let).,2,7,3,Grid Supplied Electricity,,,,48,24.57,0.82,3.3,31.5,No,,,4,Heating and Natural Ventilation,"150 Whitecross Street, Islington",Islington,Islington South and Finsbury,LONDON,2022-09-13 21:26:00,330,5300097676,Energy Assessor
