PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,1,USER,Consider replacing fluorescent lamps with retrofit LED conversion kit and associated controls.,MEDIUM
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,2,USER,Consider replacing space heating system with high efficiency electric heat pump or heat recovery chiller.,HIGH
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,2,USER,Consider replacing space heating system with high efficiency electric heat pump or heat recovery chiller.,HIGH
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,4,USER,"Upgrade existing fan coil units with modern, low SFP and appropriately sized alternatives.",MEDIUM
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,4,USER,"Upgrade existing fan coil units with modern, low SFP and appropriately sized alternatives.",MEDIUM
long,43812480ec0d2e176e9fe52740382d1d4c6d783935e8faeb3642da7917fed176,1,EPC-R4,Consider installing PV.,LOW
long,43812480ec0d2e176e9fe52740382d1d4c6d783935e8faeb3642da7917fed176,1,EPC-R4,Consider installing PV.,LOW
long,43812480ec0d2e176e9fe52740382d1d4c6d783935e8faeb3642da7917fed176,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
long,43812480ec0d2e176e9fe52740382d1d4c6d783935e8faeb3642da7917fed176,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
long,01392d1e7eb8ec4c1e0155bbc7ba698bdfdb812ca4a72dd5b4eae0a03974190f,1,EPC-R4,Consider installing PV.,LOW
long,01392d1e7eb8ec4c1e0155bbc7ba698bdfdb812ca4a72dd5b4eae0a03974190f,1,EPC-R4,Consider installing PV.,LOW
long,01392d1e7eb8ec4c1e0155bbc7ba698bdfdb812ca4a72dd5b4eae0a03974190f,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,01392d1e7eb8ec4c1e0155bbc7ba698bdfdb812ca4a72dd5b4eae0a03974190f,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,1,EPC-R4,Consider installing PV.,LOW
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,1,EPC-R4,Consider installing PV.,LOW
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,2,EPC-F5,Consider switching from gas to biomass.,HIGH
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,2,EPC-F5,Consider switching from gas to biomass.,HIGH
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,4,EPC-C3,Ductwork leakage is high. Inspect and seal ductwork.,LOW
long,75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,4,EPC-C3,Ductwork leakage is high. Inspect and seal ductwork.,LOW
other,e3251cc36e2c6ac05deed205f35a0c0ad0b071f704a5c903844510ef13e6e540,1,USER,Replace All Lighting with LED design max 157L/w + Occupancy & Daylight Controls,HIGH
other,e3251cc36e2c6ac05deed205f35a0c0ad0b071f704a5c903844510ef13e6e540,1,USER,Replace All Lighting with LED design max 157L/w + Occupancy & Daylight Controls,HIGH
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,1,EPC-R3,Consider installing solar water heating.,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,1,EPC-R3,Consider installing solar water heating.,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,2,EPC-R4,Consider installing PV.,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,2,EPC-R4,Consider installing PV.,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,4,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
long,f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,4,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
long,571746b92d6109efe5986debb3ee0b467e9a8c0ad60b16591bf5cd2534981a07,1,EPC-R4,Consider installing PV.,LOW
long,571746b92d6109efe5986debb3ee0b467e9a8c0ad60b16591bf5cd2534981a07,1,EPC-R4,Consider installing PV.,LOW
long,571746b92d6109efe5986debb3ee0b467e9a8c0ad60b16591bf5cd2534981a07,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,571746b92d6109efe5986debb3ee0b467e9a8c0ad60b16591bf5cd2534981a07,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,fd4ace68f9daa6f06c882f6411bdf0dcefecc19260eb80d095a0a4ed3b0160ff,1,EPC-R4,Consider installing PV.,LOW
long,fd4ace68f9daa6f06c882f6411bdf0dcefecc19260eb80d095a0a4ed3b0160ff,1,EPC-R4,Consider installing PV.,LOW
long,fd4ace68f9daa6f06c882f6411bdf0dcefecc19260eb80d095a0a4ed3b0160ff,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,fd4ace68f9daa6f06c882f6411bdf0dcefecc19260eb80d095a0a4ed3b0160ff,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
other,df1d4bfec8330309aeee97639fbaed18b30342e82b1b0fc4624011cd7ba9aa52,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
other,df1d4bfec8330309aeee97639fbaed18b30342e82b1b0fc4624011cd7ba9aa52,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
medium,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
medium,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
long,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,2,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,2,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,MEDIUM
long,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,3,EPC-R5,Consider installing an air source heat pump.,HIGH
long,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,3,EPC-R5,Consider installing an air source heat pump.,HIGH
other,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
other,1672c461bffcc7adb0c632aee3758f1467d2e56715176cf9a7dac8e9adb1a0f6,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
short,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
medium,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
medium,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,6,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,6,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,8,EPC-H5,Add local time control to heating system.,LOW
long,9299b1add1a3882396d9eadf0b5458f435727a6df701ee40d1c49c02c373e967,8,EPC-H5,Add local time control to heating system.,LOW
short,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
medium,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,3,EPC-H2,Add time control to heating system.,LOW
medium,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,3,EPC-H2,Add time control to heating system.,LOW
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,6,EPC-H6,Add local temperature control to the heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,6,EPC-H6,Add local temperature control to the heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,8,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,d4aaabd19bf378c2f15fb0f0996612fb9d316d1ebb9c5ce6f6cfddeb513dffa0,8,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
short,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,2,EPC-H2,Add time control to heating system.,MEDIUM
medium,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,2,EPC-H2,Add time control to heating system.,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,4,EPC-W3,Improve insulation on HWS storage.,LOW
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,4,EPC-W3,Improve insulation on HWS storage.,LOW
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,5,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,5,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,6,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,6,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
long,1b2211de2f011bf86338822ed1cbb1e453707c54d2fd91a0c701d7c750bd46ce,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
short,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,3,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,3,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,HIGH
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,HIGH
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,2ab27fd76d4005234c67c7775bdcd8b22c64edb3bc8cb2aa0c77399349d848c5,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
long,c71a61435010ea03c7310e9cafd2170a8684b388a763054d182341a03bc51ba3,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
long,c71a61435010ea03c7310e9cafd2170a8684b388a763054d182341a03bc51ba3,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
other,c71a61435010ea03c7310e9cafd2170a8684b388a763054d182341a03bc51ba3,2,USER,Replace existing T8 and CF bulbs with LEDs,HIGH
other,c71a61435010ea03c7310e9cafd2170a8684b388a763054d182341a03bc51ba3,2,USER,Replace existing T8 and CF bulbs with LEDs,HIGH
short,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
medium,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,3,EPC-H2,Add time control to heating system.,MEDIUM
medium,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,3,EPC-H2,Add time control to heating system.,MEDIUM
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
long,e136137ccb9dd86fb3e4cc49b19a43a7a42030c609d50c018597224c28b37a42,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing. ,MEDIUM
